business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
U6l20gH8YuOJMO8vF6_Ufw,Jajaja Mexicana,Mexican,"'450 W 33rd St Whole Foods New York, NY 10001'",40.75264793272132,-73.99981519174997,52,4.5,2023-02-26 00:32:26.870483
zwWksgd8M4-g7RBmVudYTg,Aldama,Mexican,"'91 S 6th St Brooklyn, NY 11249'",40.710999707909046,-73.96489653736353,70,4.0,2023-02-26 00:32:26.870495
PAJdNrD4HFBN16OAFeDx4A,Ponche Taqueria & Cantina,Mexican,"'420 W 49th St New York, NY 10019'",40.76319,-73.99045,558,4.0,2023-02-26 00:32:26.870505
9aJ1MVTthZw3QjqoG7mPjg,Rosie's,Mexican,"'29 E 2nd St New York, NY 10003'",40.72492,-73.99079,883,4.0,2023-02-26 00:32:26.870516
qjCl34rJ0zVUHaZ1irb8FA,Taqueria Ramirez,Mexican,"'94 Franklin St Brooklyn, NY 11222'",40.727876136419724,-73.95699203025863,105,4.5,2023-02-26 00:32:26.870526
iPc-zPgcpgeSo76xl5Jbpw,The Maze,Mexican,"'32 W 32nd St Fl 3 New York, NY 10001'",40.747846,-73.9872499,677,4.0,2023-02-26 00:32:26.870537
kn9rgR4KlvyTTi-s76OIaQ,Toloache 82nd,Mexican,"'166 E 82nd St New York, NY 10028'",40.776483,-73.956708,503,4.0,2023-02-26 00:32:26.870547
7ERwg_4Kiaq1ezKTSSv7pg,Taqueria 86,Mexican,"'210 W 94th St New York, NY 10025'",40.793,-73.97214,95,4.5,2023-02-26 00:32:26.870558
vyKBwzRdNX4yiJDIFv37iw,Oxomoco,Mexican,"'128 Greenpoint Ave Brooklyn, NY 11222'",40.7299099,-73.95548,551,4.0,2023-02-26 00:32:26.870568
mJVO64T1WWzJYvNlbLSQNA,Lucio Angelita Tacos,Mexican,"'55 Lexington Ave New York, NY 10022'",40.7594591154635,-73.9697938801726,26,4.0,2023-02-26 00:32:26.870578
xN4yKQMzo3PIoQlFamUOLQ,La Esquina - Midtown,Mexican,"'200 W 55th St New York, NY 10019'",40.7642986928764,-73.9814604957066,259,4.0,2023-02-26 00:32:26.870590
B6bEkY9sJ_GU2pD2Rwb4gg,El Mitote,Mexican,"'208 Columbus Ave New York, NY 10023'",40.77578,-73.98021,599,3.5,2023-02-26 00:32:26.870601
WZynqsGjqQLc_T8R80_-7g,Yellow Rose,Mexican,"'102 3rd Ave New York, NY 10003'",40.732575,-73.98806909999999,146,4.5,2023-02-26 00:32:26.870612
L3REPLCvQpMapYPd_fkS-A,Los Mariscos,Mexican,"'409 W 15th St New York, NY 10011'",40.74207,-74.00565,751,4.5,2023-02-26 00:32:26.870623
9_CEU7Wmvmwlyvqr-PJD6w,Ofrenda,Mexican,"'113 7th Ave S New York, NY 10014'",40.73391,-74.00242,1074,4.0,2023-02-26 00:32:26.870632
M1YYZ9cTVuMXLji_XF6rzg,Dos Caminos,Mexican,"'373 Park Ave S New York, NY 10016'",40.7422737,-73.9846134,1359,3.5,2023-02-26 00:32:26.870643
ry7XCoXXxS0DxRmzZLFybw,Taqueria Gramercy,Mexican,"'218 3rd Ave New York, NY 10003'",40.7363,-73.98531,143,4.0,2023-02-26 00:32:27.920309
Nnuz_Ic0IdWOUbl64r4Hkg,Fonda Park Slope,Mexican,"'434 7th Ave Brooklyn, NY 11215'",40.663631439209,-73.9846343994141,899,4.0,2023-02-26 00:32:27.920338
1nR3kKOs938gcgnw6p5wjg,Sinigual,Mexican,"'640 3rd Ave Manhattan, NY 10017'",40.7503161990978,-73.97508162972879,1047,3.5,2023-02-26 00:32:27.920355
YFL1rAdlv7J0cswHVhvCtQ,Ruta Oaxaca Mexican Cuisine,Mexican,"'35-03 Broadway Astoria, NY 11106'",40.76058,-73.92182,238,4.5,2023-02-26 00:32:27.920369
y2dSu-qwp1BmLfQRn_c-1Q,Bar Lula,Mexican,"'132 1st Ave New York, NY 10009'",40.72743,-73.98521,45,4.5,2023-02-26 00:32:27.920382
LQHegfNHe7ylY3bocrFlpg,Calle Dao - Bryant Park,Mexican,"'38 W 39th St New York, NY 10018'",40.752167,-73.98422161374535,1866,4.0,2023-02-26 00:32:27.920394
_M5FVY4hkcuU-ASdVZPfRQ,Tacos El Bronco,Mexican,"'4324 4th Ave Brooklyn, NY 11220'",40.65006,-74.00915,679,4.0,2023-02-26 00:32:27.920494
xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,Mexican,"'818 10th Ave New York, NY 10019'",40.76733,-73.98945,1515,4.0,2023-02-26 00:32:27.920510
bVi0Rk_GfkrJJELLXaqEeA,Dos Toros Taqueria,Mexican,"'636 Lexington Ave New York, NY 10022'",40.7592114,-73.9706706,100,3.0,2023-02-26 00:32:27.920523
clTandR9fDd4OaREI8qTsQ,El Tepeyac Taqueria,Mexican,"'1505 Lexington Ave New York, NY 10029'",40.78665,-73.95019,3,5.0,2023-02-26 00:32:27.920535
EHUNrnIgnhwTnpOm3gEESg,Tacuba,Mexican,"'35-01 36th St Astoria, NY 11106'",40.75609,-73.924441,741,4.0,2023-02-26 00:32:27.920547
6ptX8V8WW_IzhHXLJ4SRAA,Dos Toros Taqueria,Mexican,"'465 Lexington Ave New York, NY 10017'",40.75352,-73.97418,202,3.5,2023-02-26 00:32:27.920559
AABqAsYdRI9gSyU1gStdxg,Gina Mexicana,Mexican,"'145 E 61st St New York, NY 10021'",40.7634,-73.9668,172,3.0,2023-02-26 00:32:27.920571
VzdToJAHuLY07TlXZTdIwA,Tito Murphy's,Mexican,"'346 W 46th St New York, NY 10036'",40.76034,-73.989743,223,4.0,2023-02-26 00:32:27.920582
BdHWUmVFuo1R8Lctv4K1Ow,El Parador Cafe,Mexican,"'325 E 34th St New York, NY 10016'",40.7444599,-73.97472,489,4.0,2023-02-26 00:32:27.920594
OZHywdX0bT2MCmyUHoQNHA,El Fish Marisquería,Mexican,"'155 Amsterdam Ave 67th St New York, NY 10023'",40.77523410000001,-73.9838458,8,4.5,2023-02-26 00:32:27.920607
7YYp_2WYWdRSt_NohV7Psw,Casa Birria NYC,Mexican,"'86th & 3rd Ave New York, NY 10028'",40.778824,-73.953986,90,5.0,2023-02-26 00:32:27.920620
qr24KgWcZGUhKZIPyVMsNw,Maz Mezcal,Mexican,"'316 E 86th St New York, NY 10028'",40.77741,-73.95103,424,3.5,2023-02-26 00:32:27.920632
YsDmYRzJo3kiwZvIe1r0Fg,Playa Betty’s,Mexican,"'320 Amsterdam Ave New York, NY 10023'",40.78075,-73.98032,956,3.5,2023-02-26 00:32:27.920643
IpBG_nY_opO9Zy-xNBEQCg,La Chilaquería - New York,Mexican,"'139 W 28th St New York, NY 10001'",40.746995,-73.992207,38,5.0,2023-02-26 00:32:27.920656
cy0vBvZu2Eb4XtRFCp8Seg,Conmigo,Mexican,"'1685 1st Ave New York, NY 10128'",40.77793,-73.94902,334,4.0,2023-02-26 00:32:27.920668
AgAkUVLN_axMY-bzbNCfCw,Yuca Bar,Mexican,"'111 Avenue A New York, NY 10009'",40.7262,-73.9836,1960,4.0,2023-02-26 00:32:27.920679
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,Mexican,"'17 Prince St New York, NY 10012'",40.722998,-73.994171,3290,4.0,2023-02-26 00:32:27.920691
Q10FeFs1mtNchv1NbNcsLg,Oaxaca Taqueria,Mexican,"'152 E 33rd St New York, NY 10016'",40.745314,-73.97949471396348,142,3.5,2023-02-26 00:32:27.920703
FavssEgZjXFi2unEXePkVQ,Tacombi,Mexican,"'255 Bleecker St New York, NY 10014'",40.73112,-74.00272,469,4.0,2023-02-26 00:32:27.920715
skN-mgnOezFQr9YNh5G5TQ,Lolita's Kitchen,Mexican,"'1364 Lexington Ave New York, NY 10128'",40.7824207446896,-73.9534502033954,135,4.0,2023-02-26 00:32:27.920728
0ksKKrgHt-6xCCHfTlLcoA,tán,Mexican,"'209 East 49th St New York, NY 10017'",40.754989,-73.970506,24,4.0,2023-02-26 00:32:27.920740
twQFM-8T_Y4yYIqeEPk4XQ,Casa Carmen,Mexican,"'114 Franklin St New York, NY 10013'",40.718705771624705,-74.00606353625375,40,4.0,2023-02-26 00:32:27.920753
AUyKmFjpaVLwc3awfUnqgQ,Chela & Garnacha,Mexican,"'33-09 36th Ave Astoria, NY 11106'",40.7556474,-73.9274415,433,4.5,2023-02-26 00:32:27.920766
hR1bG0jgd2_Z9Q5L6siTEw,Antojito Mexicano,Mexican,"'6th Avenue & 28th Street New York, NY 10001'",40.7460380678347,-73.9905191880082,37,4.5,2023-02-26 00:32:27.920779
msTXsZGFMWSCMsdf6yIB2Q,La Cocina De Mama,Mexican,"'154E 109th St New York, NY 10029'",40.793995,-73.944716,15,5.0,2023-02-26 00:32:27.920791
H08vCdbcP3oy0cBEKqM5KQ,El Rey del Sabor,Mexican,"'166 E 60th St New York, NY 10021'",40.7622400274526,-73.9663818196397,73,4.0,2023-02-26 00:32:27.920804
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,Mexican,"'253 Broome St New York, NY 10002'",40.718022,-73.990026,1176,4.0,2023-02-26 00:32:27.920816
xGNzAsakHgbbl9fwgSoiUg,Kahlo,Mexican,"'525 West 29th St New York, NY 10001'",40.752092,-74.0026757,222,4.0,2023-02-26 00:32:27.920828
DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,Mexican,"'79 St Marks Pl New York, NY 10003'",40.72788723475379,-73.98557625767012,471,4.0,2023-02-26 00:32:27.920840
r5NT8-nV4py2c-mppTKucQ,Essex Taqueria,Mexican,"'123 Essex St New York, NY 10002'",40.7197418,-73.9877989,322,4.0,2023-02-26 00:32:27.920853
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,Mexican,"'75 9th Ave Chelsea Market New York, NY 10011'",40.7422546402357,-74.0059581,3698,4.5,2023-02-26 00:32:27.920865
boRM4i0UQswxQIp6CA9y_A,La Esquina - SoHo,Mexican,"'114 Kenmare St New York, NY 10012'",40.721372,-73.997529,2163,3.5,2023-02-26 00:32:27.920877
TULCjzJjDMlpruzjCcB9rw,Mermaid Mexicana,Mexican,"'79 MacDougal St New York, NY 10012'",40.72879,-74.00165,15,4.0,2023-02-26 00:32:27.920889
bx-a5t04wBiJnX9E3aSNBw,Empellón Taqueria - Waterline Square,Mexican,"'645 West 59th St New York, NY 10069'",40.77236,-73.99186,40,3.5,2023-02-26 00:32:27.920901
6ezrABEThm48qv1qj8_FVw,Javelina,Mexican,"'1395 2nd Ave New York, NY 10021'",40.7694,-73.95816,146,4.0,2023-02-26 00:32:27.920913
ePqKbqXFBCbwBaWiN2Jo9w,Ampersand,Mexican,"'294 3rd Ave New York, NY 10010'",40.7386178790617,-73.9834206895483,254,4.5,2023-02-26 00:32:27.920925
iHinXbZk2625noKq9XSvzA,Seeyamañana,Mexican,"'49 West 27th St New York, NY 10001'",40.745332,-73.990216,46,4.0,2023-02-26 00:32:27.920937
